DateTime_IntBegin,UNIT_1_P,UNIT_2_P,UNIT_3_P,UNIT_4_P,UNIT_5_P,UNIT_6_P,UNIT_7_P,UNIT_8_P,UP_RES_L,LO_RES_L,ON_Units,P_Total,P_N,Net_Head_m,G_Net_Head_m,G_Disch,P_Net_Head_m,P_Disch,Delta_V_mcm,Delta_URL,Machine_Hrs_Real
2025-06-03 03:15:00,0.00048828125,244.488494873046,0.00048828125,0.00048828125,,0.00048828125,,,454.595458984375,326.257049560546,1,244.490447998046,0.9979201959103918,125.83840942382898,125.75,-215.24850502701,125.75,192.983966248244,-0.1933207472753755,-0.06094360351499972,0.24948004897759796
2025-06-03 03:30:00,0.00048828125,244.321502685546,0.00048828125,0.00048828125,,0.00048828125,,,454.484375,326.320739746093,1,244.323455810546,0.9972385951450857,125.66363525390699,125.5,-215.840132941036,125.5,193.396059251572,-0.19371969985504253,-0.111083984375,0.24930964878627143
2025-06-03 03:45:00,0.00048828125,244.396499633789,0.00048828125,0.00048828125,,0.00048828125,,,454.391204833984,326.364288330078,1,244.398452758789,0.9975447051379143,125.52691650390597,125.5,-215.840132941036,125.5,193.396059251572,-0.19377916359443456,-0.0931701660160229,0.24938617628447857
2025-06-03 04:00:00,0.00048828125,244.317504882812,0.00048828125,0.00048828125,,0.00048828125,,,454.292053222656,326.470428466796,1,244.319458007812,0.997222277582906,125.32162475586,125.25,-216.437273416374,125.25,193.809010703465,-0.1942524636750996,-0.09915161132795447,0.2493055693957265
2025-06-03 04:15:00,0.00048828125,244.243499755859,0.00048828125,0.00048828125,,0.00048828125,,,454.219177246093,326.566528320312,1,244.245452880859,0.9969202158402408,125.15264892578102,125.0,-217.039469774462,125.0,194.222762468784,-0.19473393154806726,-0.07287597656301159,0.2492300539600602
2025-06-03 04:30:00,0.00048828125,244.24949645996,0.00048828125,0.00048828125,,0.00048828125,,,454.116455078125,326.649200439453,1,244.25144958496,0.9969446921835102,124.96725463867199,124.75,-217.646014380932,124.75,194.637276508249,-0.19528293493076948,-0.10272216796801104,0.24923617304587756
2025-06-03 04:45:00,0.00048828125,244.18049621582,0.00048828125,0.00048828125,,0.00048828125,,,454.01968383789,326.750854492187,1,244.18244934082,0.9966630585339592,124.76882934570301,124.75,-217.646014380932,124.75,194.637276508249,-0.19522776813356316,-0.09677124023500028,0.2491657646334898
2025-06-03 05:00:00,0.00048828125,197.824493408203,0.00048828125,0.00048828125,,0.00048828125,,,453.926513671875,326.792205810546,1,197.826446533203,0.8074548838089919,124.63430786132898,124.5,-218.255841074917,124.5,195.052521608616,-0.1586085703162028,-0.09317016601499972,0.20186372095224797
2025-06-03 06:00:00,0.00048828125,243.883499145507,0.00048828125,0.00048828125,,0.00048828125,,,453.760467529296,326.804473876953,1,243.885452270507,0.9954508255939061,124.45599365234301,124.25,-218.867958106551,124.25,195.468462399246,-0.19608506063389677,-0.10272216796897737,0.24886270639847652
2025-06-03 06:15:00,0.00048828125,244.271499633789,0.00048828125,0.00048828125,,0.00048828125,,,453.664916992187,326.903930664062,1,244.273452758789,0.9970345010562817,124.260986328125,124.25,-218.867958106551,124.25,195.468462399246,-0.19639701486717498,-0.09555053710903394,0.24925862526407042
2025-06-03 06:30:00,0.00048828125,244.498504638671,0.00048828125,0.00048828125,,0.00048828125,,,453.5693359375,327.118438720703,1,244.500457763671,0.9979610520966163,123.95089721679699,123.75,-220.099171989463,123.75,196.302266361824,-0.19768536111977875,-0.09558105468698841,0.24949026302415409
2025-06-03 06:45:00,0.00048828125,244.039505004882,0.00048828125,0.00048828125,,0.00048828125,,,453.47378540039,327.217864990234,1,244.041458129882,0.9960875842036,123.75592041015602,123.75,-220.099171989463,123.75,196.302266361824,-0.19731424726097715,-0.09555053711000028,0.2490218960509
2025-06-03 07:00:00,0.00048828125,192.154495239257,0.00048828125,0.00048828125,,0.00048828125,,,453.366271972656,327.326232910156,1,192.156448364257,0.7843120341398244,123.5400390625,123.5,-220.720019316405,123.5,196.720046559632,-0.15580203059288786,-0.1075134277339771,0.1960780085349561
2025-06-03 09:00:00,0.00048828125,-258.385528564453,0.00048828125,0.00048828125,,0.00048828125,,,453.447479248046,327.242431640625,-1,-258.383575439453,-1.0093108415603633,123.70504760742102,123.5,-220.720019316405,123.5,196.720046559632,0.17869650817040644,0.046569824218011036,-0.25232771039009083
2025-06-03 09:15:00,0.00048828125,-257.775512695312,0.00048828125,0.00048828125,,0.00048828125,,,453.550231933593,327.134063720703,-1,-257.773559570312,-1.0069279670715312,123.91616821289,123.75,-220.099171989463,123.75,196.302266361824,0.1778960177993211,0.10275268554698869,-0.2517319917678828
2025-06-03 09:30:00,0.00048828125,-258.089538574218,0.00048828125,0.00048828125,,0.00048828125,,,453.644592285156,327.022338867187,-1,-258.087585449218,-1.0081546306610079,124.12225341796903,124.0,-219.482190559173,124.0,195.885057930571,0.17773418540700447,0.09436035156301159,-0.25203865766525196
2025-06-03 09:45:00,0.00048828125,-258.010528564453,0.00048828125,0.00048828125,,0.00048828125,,,453.738952636718,326.986602783203,-1,-258.008575439453,-1.0078459978103633,124.252349853515,124.25,-218.867958106551,124.25,195.468462399246,0.17730189677450303,0.09436035156198841,-0.25196149945259083
2025-06-03 10:00:00,0.00048828125,-258.455535888671,0.00048828125,0.00048828125,,0.00048828125,,,453.834533691406,327.002227783203,-1,-258.453582763671,-1.00958430767059,124.33230590820301,124.25,-218.867958106551,124.25,195.468462399246,0.17760770305449974,0.09558105468801159,-0.2523960769176475
2025-06-03 10:15:00,0.00048828125,-259.078521728515,0.00048828125,0.00048828125,,0.00048828125,,,453.930114746093,326.932952880859,-1,-259.076568603515,-1.0120178461074805,124.49716186523403,124.25,-218.867958106551,124.25,195.468462399246,0.17803581506930335,0.09558105468698841,-0.2530044615268701
2025-06-03 10:30:00,0.00048828125,-258.104522705078,0.00048828125,0.00048828125,,0.00048828125,,,453.997009277343,326.862579345703,-1,-258.102569580078,-1.0082131624221797,124.63442993164,124.5,-218.255841074917,124.5,195.052521608616,0.17698906768449893,0.06689453125,-0.25205329060554493
2025-06-03 10:45:00,0.00048828125,-259.035522460937,0.00048828125,0.00048828125,,0.00048828125,,,454.088989257812,326.738555908203,-1,-259.033569335937,-1.0118498802185039,124.85043334960898,124.75,-217.646014380932,124.75,194.637276508249,0.17724933442883478,0.09197998046897737,-0.25296247005462597
2025-06-03 11:00:00,0.00048828125,-257.212524414062,0.00048828125,0.00048828125,,0.00048828125,,,454.183349609375,326.648071289062,-1,-257.210571289062,-1.0047287940978984,125.03527832031301,125.0,-217.039469774462,125.0,194.222762468784,0.17562708172946154,0.09436035156301159,-0.2511821985244746
2025-06-03 11:15:00,0.00048828125,-256.259521484375,0.00048828125,0.00048828125,,0.00048828125,,,454.275329589843,326.627960205078,-1,-256.257568359375,-1.0010061264038086,125.147369384765,125.0,-217.039469774462,125.0,194.222762468784,0.17497635760649202,0.09197998046801104,-0.25025153160095215
2025-06-03 11:30:00,0.00048828125,-256.052520751953,0.00048828125,0.00048828125,,0.00048828125,,,454.338653564453,326.5888671875,-1,-256.050567626953,-1.0001975297927852,125.24978637695301,125.0,-217.039469774462,125.0,194.222762468784,0.17483501452572778,0.06332397461000028,-0.2500493824481963
2025-06-03 11:45:00,0.00048828125,-256.560516357421,0.00048828125,0.00048828125,,0.00048828125,,,454.437805175781,326.546417236328,-1,-256.558563232421,-1.0021818876266446,125.39138793945301,125.25,-216.437273416374,125.25,193.809010703465,0.17480869216726602,0.09915161132801131,-0.25054547190666115
2025-06-03 12:00:00,0.00048828125,-256.558532714843,0.00048828125,0.00048828125,,0.00048828125,,,454.502288818359,326.44921875,-1,-256.556579589843,-1.0021741390228243,125.55307006835898,125.5,-215.840132941036,125.5,193.396059251572,0.17443487625376616,0.06448364257795447,-0.25054353475570607
2025-06-03 12:15:00,0.00048828125,-256.652526855468,0.00048828125,0.00048828125,,0.00048828125,,,454.588317871093,326.339721679687,-1,-256.650573730468,-1.0025413036346407,125.74859619140602,125.5,-215.840132941036,125.5,193.396059251572,0.1744987836238859,0.08602905273403394,-0.25063532590866017
2025-06-03 12:30:00,0.00048828125,-257.471527099609,0.00048828125,0.00048828125,,0.00048828125,,,454.67788696289,326.26821899414,-1,-257.469573974609,-1.0057405233383163,125.90966796875,125.75,-215.24850502701,125.75,192.983966248244,0.17468261568937163,0.08956909179698869,-0.2514351308345791
2025-06-03 12:45:00,0.00048828125,-256.527526855468,0.00048828125,0.00048828125,,0.00048828125,,,454.778228759765,326.21011352539,-1,-256.525573730468,-1.0020530223846407,126.068115234375,126.0,-214.662684331498,126.0,192.572789666403,0.17367133132283474,0.100341796875,-0.25051325559616017
2025-06-03 13:00:00,0.00048828125,-258.514526367187,0.00048828125,0.00048828125,,0.00048828125,,,454.834381103515,326.190002441406,-1,-258.512573242187,-1.009814739227293,126.14437866210898,126.0,-214.662684331498,126.0,192.572789666403,0.17501655724132598,0.05615234375,-0.25245368480682323
2025-06-03 13:15:00,0.00048828125,-256.603515625,0.00048828125,0.00048828125,,0.00048828125,,,454.901275634765,326.13525390625,-1,-256.6015625,-1.002349853515625,126.266021728515,126.25,-214.082737313487,126.25,192.162522662503,0.17335266879775757,0.06689453125,-0.25058746337890625
2025-06-03 13:30:00,0.00048828125,-257.587524414062,0.00048828125,0.00048828125,,0.00048828125,,,454.995666503906,326.042541503906,-1,-257.585571289062,-1.0061936378478984,126.453125,126.25,-214.082737313487,126.25,192.162522662503,0.17401743696223182,0.0943908691410229,-0.2515484094619746
2025-06-03 13:45:00,0.00048828125,-255.28352355957,0.00048828125,0.00048828125,,0.00048828125,,,455.08642578125,325.955383300781,-1,-255.28157043457,-0.9971936345100391,126.63104248046898,126.5,-213.508599802606,126.5,191.753094182335,0.1720934684246056,0.09075927734397737,-0.24929840862750977
2025-06-03 14:00:00,0.00048828125,-255.30451965332,0.00048828125,0.00048828125,,0.00048828125,,,455.1533203125,325.868255615234,-1,-255.30256652832,-0.99727565050125,126.78506469726602,126.75,-212.940103316519,126.75,191.344406024361,0.17174080528894792,0.06689453125,-0.2493189126253125
2025-06-03 14:15:00,0.00048828125,-252.89453125,0.00048828125,0.00048828125,,0.00048828125,,,455.232177734375,325.829162597656,-1,-252.892578125,-0.9878616333007812,126.90301513671898,126.75,-212.940103316519,126.75,191.344406024361,0.1701196177123738,0.078857421875,-0.2469654083251953
2025-06-03 14:30:00,0.00048828125,-254.718521118164,0.00048828125,0.00048828125,,0.00048828125,,,455.252471923828,325.742004394531,-1,-254.716567993164,-0.9949865937232969,127.01046752929699,127.0,-212.377031118966,127.0,190.936218650258,0.17098108003190418,0.020294189453011313,-0.24874664843082422
2025-06-03 14:45:00,0.00048828125,-255.537521362304,0.00048828125,0.00048828125,,0.00048828125,,,455.357604980468,325.670501708984,-1,-255.535568237304,-0.9981858134269688,127.18710327148403,127.0,-212.377031118966,127.0,190.936218650258,0.1715308422534696,0.10513305663999972,-0.2495464533567422
2025-06-03 15:00:00,0.00048828125,-255.805526733398,0.00048828125,0.00048828125,,0.00048828125,,,455.44839477539,325.566589355468,-1,-255.803573608398,-0.9992327094078047,127.38180541992199,127.25,-211.819108886057,127.25,190.52824633098,0.1713438502200205,0.09078979492198869,-0.24980817735195118
2025-06-03 15:15:00,0.00048828125,-254.154525756835,0.00048828125,0.00048828125,,0.00048828125,,,455.535583496093,325.542022705078,-1,-254.152572631835,-0.9927834868431055,127.493560791015,127.25,-211.819108886057,127.25,190.52824633098,0.1702379670611152,0.08718872070301131,-0.24819587171077637
2025-06-03 15:30:00,0.00048828125,-255.534530639648,0.00048828125,0.00048828125,,0.00048828125,,,455.596527099609,325.497344970703,-1,-255.532577514648,-0.9981741309165938,127.59918212890597,127.5,-211.266039485663,127.5,190.120219532119,0.17079577641103041,0.06094360351596606,-0.24954353272914845
2025-06-03 15:45:00,0.00048828125,-254.961517333984,0.00048828125,0.00048828125,,0.00048828125,,,455.688507080078,325.393432617187,-1,-254.959564208984,-0.9959357976913438,127.79507446289102,127.75,-210.71756118212,127.75,189.711894950415,0.1700467806860802,0.09197998046903422,-0.24898394942283594
2025-06-03 19:15:00,0.00048828125,244.544494628906,0.00048828125,0.00048828125,,0.00048828125,,,455.596527099609,325.686157226562,1,244.546447753906,0.9981487663424734,127.41036987304699,127.25,-211.819108886057,127.25,190.52824633098,-0.19028428400014183,-0.06210327148403394,0.24953719158561835
2025-06-03 19:30:00,0.00048828125,244.61050415039,0.00048828125,0.00048828125,,0.00048828125,,,455.500946044921,325.514099121093,1,244.61245727539,0.9984181929607755,127.48684692382801,127.25,-211.819108886057,127.25,190.52824633098,-0.19033564673572087,-0.09558105468795475,0.24960454824019387
2025-06-03 19:45:00,0.00048828125,244.315505981445,0.00048828125,0.00048828125,,0.00048828125,,,455.407775878906,325.491760253906,1,244.317459106445,0.9972141188018163,127.416015625,127.25,-211.819108886057,127.25,190.52824633098,-0.19010610541187578,-0.09317016601499972,0.24930352970045408
2025-06-03 20:00:00,0.00048828125,244.306503295898,0.00048828125,0.00048828125,,0.00048828125,,,455.348052978515,325.7666015625,1,244.308456420898,0.9971773731465225,127.081451416015,127.0,-212.377031118966,127.0,190.936218650258,-0.190599813007081,-0.059722900391022904,0.24929434328663064
2025-06-03 20:15:00,0.00048828125,244.535507202148,0.00048828125,0.00048828125,,0.00048828125,,,455.253692626953,326.010131835937,1,244.537460327148,0.9981120829679511,126.74356079101602,126.5,-213.508599802606,126.5,191.753094182335,-0.1917949619524948,-0.09436035156198841,0.24952802074198777
